Sentencia,Proceso,Expediente Tipo,Expediente NÃºmero,Magistrado(a) ponente,Sentencia Tipo,Fecha Sentencia,Año,SV-SPV,AV-APV
C-557-01,Demanda de inconstitucionalidad,D,3264,Manuel JosÃ© Cepeda Espinosa,C,5/31/2001 0:00,2001,No,No
C-807-01,Demanda de inconstitucionalidad,D,3266,Rodrigo Escobar Gil,C,8/1/2001 0:00,2001,No,No
C-621-01,Demanda de inconstitucionalidad,D,3268,Manuel JosÃ© Cepeda Espinosa,C,6/13/2001 0:00,2001,No,No
C-558-01,Demanda de inconstitucionalidad,D,3269,Jaime Araujo RenterÃ­a,C,5/31/2001 0:00,2001,No,No
C-585-01,Demanda de inconstitucionalidad,D,3270,Alfredo BeltrÃ¡n Sierra,C,6/6/2001 0:00,2001,No,No
C-774-01,Demanda de inconstitucionalidad,D,3271,Rodrigo Escobar Gil,C,7/26/2001 0:00,2001,No,No
C-586-01,Demanda de inconstitucionalidad,D,3272,Alvaro Tafur Galvis,C,6/6/2001 0:00,2001,No,No
C-559-01,Demanda de inconstitucionalidad,D,3274,Jaime Araujo RenterÃ­a,C,5/31/2001 0:00,2001,No,No
C-649-01,Demanda de inconstitucionalidad,D,3278,Eduardo Montealegre Lynett,C,6/20/2001 0:00,2001,No,No
C-616-01,Demanda de inconstitucionalidad,D,3279,Rodrigo Escobar Gil,C,6/13/2001 0:00,2001,No,No
C-617-01,Demanda de inconstitucionalidad,D,3280,Alvaro Tafur Galvis,C,6/13/2001 0:00,2001,No,No
C-651-01,Demanda de inconstitucionalidad,D,3281,Alfredo BeltrÃ¡n Sierra,C,6/20/2001 0:00,2001,No,No
C-618-01,Demanda de inconstitucionalidad,D,3283,Jaime Araujo RenterÃ­a,C,6/13/2001 0:00,2001,No,No
C-650-01,Demanda de inconstitucionalidad,D,3285,Clara InÃ©s Vargas HernÃ¡ndez,C,6/20/2001 0:00,2001,No,No
C-778-01,Demanda de inconstitucionalidad,D,3286,Jaime Araujo RenterÃ­a,C,7/25/2001 0:00,2001,No,No
C-710-01,Demanda de inconstitucionalidad,D,3287,Jaime CÃ³rdoba TriviÃ±o,C,7/5/2001 0:00,2001,No,No
C-619-01,Demanda de inconstitucionalidad,D,3291,Marco Gerardo Monroy Cabra,C,6/14/2001 0:00,2001,No,No
C-647-01,Demanda de inconstitucionalidad,D,3292,Alfredo BeltrÃ¡n Sierra,C,6/20/2001 0:00,2001,No,No
C-739-01,Demanda de inconstitucionalidad,D,3293,Alvaro Tafur Galvis,C,7/11/2001 0:00,2001,No,No
C-775-01,Demanda de inconstitucionalidad,D,3294,Rodrigo Escobar Gil,C,7/25/2001 0:00,2001,No,No
C-709-01,Demanda de inconstitucionalidad,D,3295,Alfredo BeltrÃ¡n Sierra,C,7/5/2001 0:00,2001,No,No
C-672-01,Demanda de inconstitucionalidad,D,3301,Alvaro Tafur Galvis,C,6/28/2001 0:00,2001,No,No
C-653-01,Demanda de inconstitucionalidad,D,3313,Manuel JosÃ© Cepeda Espinosa,C,6/20/2001 0:00,2001,No,No
C-711-01,Demanda de inconstitucionalidad,D,3317,Jaime Araujo RenterÃ­a,C,7/5/2001 0:00,2001,No,No
C-740-01,Demanda de inconstitucionalidad,D,3318,Alvaro Tafur Galvis,C,7/11/2001 0:00,2001,No,No
C-741-01,Demanda de inconstitucionalidad,D,3323,Manuel JosÃ© Cepeda Espinosa,C,7/11/2001 0:00,2001,No,No
C-674-01,Demanda de inconstitucionalidad,D,3324,Eduardo Montealegre Lynett,C,6/28/2001 0:00,2001,No,No
C-675-01,Demanda de inconstitucionalidad,D,3325,Clara InÃ©s Vargas HernÃ¡ndez,C,6/28/2001 0:00,2001,No,No
C-652-01,Demanda de inconstitucionalidad,D,3330,Jaime CÃ³rdoba TriviÃ±o,C,6/20/2001 0:00,2001,No,No
C-779-01,Demanda de inconstitucionalidad,D,3332,Jaime Araujo RenterÃ­a,C,7/25/2001 0:00,2001,No,No
C-743-01,Demanda de inconstitucionalidad,D,3335,Alfredo BeltrÃ¡n Sierra,C,7/11/2001 0:00,2001,No,No
C-758-01,Demanda de inconstitucionalidad,D,3336,Manuel JosÃ© Cepeda Espinosa,C,7/17/2001 0:00,2001,No,No
C-780-01,Demanda de inconstitucionalidad,D,3344,Jaime CÃ³rdoba TriviÃ±o,C,7/25/2001 0:00,2001,No,No
C-781-01,Demanda de inconstitucionalidad,D,3346,Jaime CÃ³rdoba TriviÃ±o,C,7/25/2001 0:00,2001,No,No
